respid,cty,AsylumHome,IdeoScale,Female,Age,Employed,EISCED,IncomeDecile
R_d40rqxwcBlt2paR,Spain,0,5,0,66,0,7,2
R_73P5iO1WfAdOcMl,Spain,-2,2,1,41,1,2,3
R_bDEa4kJ9Y2wiCcR,Spain,-2,10,0,59,1,3,4
R_2oxM9mygDsO4SGx,Spain,0,2,1,44,0,2,7
R_1AJql8YisJLaOzz,Spain,2,2,0,42,1,5,9
R_8rjBSMqPZpS06X3,Spain,1,7,1,46,0,6,5
R_3w7E8ASbK0r7F9r,Spain,0,7,0,28,0,6,8
R_2aCJGlp9ccfMp6t,Spain,-2,5,1,46,1,6,3
R_3ZZDFTCP1Psql7f,Spain,0,3,1,48,1,4,7
R_bDGHpNhrh0BHx4N,Spain,1,3,1,34,0,6,2
R_eWALgxgtiwq8VcV,Spain,1,3,0,32,1,7,9
R_6fWuyQzKkLNR8jz,Spain,-1,7,1,31,0,3,2
R_0p7CFZBV8FDUa8Z,Spain,0,5,1,44,0,1,5
R_1NvzwhwKbWcqHpX,Spain,1,0,0,57,0,7,8
R_3soDJlZyRc0E0N7,Spain,-2,5,0,34,0,2,6
R_bNQKDTjuq1YnW4t,Spain,0,4,0,40,1,7,6
R_a62amOlb8S2mVOR,Spain,0,8,1,52,0,1,4
R_9QWhdgHZmaffPi5,Spain,-1,7,1,31,1,7,10
R_6fFdFIdq3HNjZDD,Spain,1,9,1,53,1,3,9
R_0lJ8vg2kHV80KTX,Spain,1,3,1,34,0,5,9
R_cCLxbDxPCLviliR,Spain,0,5,1,45,0,6,4
R_3gzkzLSmTkr151H,Spain,0,2,0,55,1,2,10
R_2fSWT7iuGVSe3Fr,Spain,-2,7,1,39,0,5,9
R_4VL6z4xIirpabfT,Spain,0,5,1,36,0,5,2
R_9pHGyfSsB8Mg7qZ,Spain,-1,2,1,45,0,2,4
R_d5Ot8fqisoB5BzL,Spain,1,5,0,58,1,4,4
R_3fxPxXlmh3xAscZ,Spain,2,0,1,41,1,7,2
R_bNFWLesF28KYFA9,Spain,1,5,1,26,1,7,3
R_9TR4AoUdb49nxOJ,Spain,1,4,1,32,1,7,5
R_3CNROttBRyi3Ey1,Spain,-2,4,0,52,0,5,3
R_ekQf3JiFZbjYJNz,Spain,2,3,0,66,0,6,10
R_efb4fFr1PjANP01,Spain,-2,5,0,49,1,2,3
R_0U0OTVWpaSdHNAN,Spain,0,5,1,37,0,1,5
R_3yKGCpmjMCuEUBL,Spain,0,4,1,33,0,7,6
R_4IOLlnRI1pRfUTX,Spain,2,5,0,42,1,7,2
R_0pRbUl1iJMEjzzT,Spain,0,5,1,31,1,2,10
R_3EinTgP41pVJxn7,Spain,0,3,1,51,0,7,1
R_3xtDRt1RAy0pNSl,Spain,-1,5,1,48,0,3,2
R_9MicgIm4Q93l73D,Spain,0,5,1,31,1,3,7
R_4UcylJETS6cwpFj,Spain,0,7,1,51,0,7,6
R_6ydIjdDzQcu9ned,Spain,0,7,1,23,0,2,2
R_0v8EF93IpSiCEKN,Spain,0,3,1,50,1,7,9
R_eScLa3kFOnaCtyB,Spain,0,6,0,39,1,6,3
R_bPJnEohSJKd3lfT,Spain,0,4,1,35,0,2,1
R_8IhrGk4fQgvTi5L,Spain,-1,3,1,40,1,5,8
R_cYkpPxAWjghhCHr,Spain,1,10,1,38,1,7,10
R_3yrgWMVHNYgWLSB,Spain,-1,5,1,48,1,7,9
R_3q6pUTbsx17PtoF,Spain,-1,8,1,36,1,7,10
R_3TLdKrw07qRAb2d,Spain,0,9,0,38,1,6,5
R_blvUi0hHcKqCuYR,Spain,1,5,1,61,0,5,10
R_5mzSjBswcGEGzNb,Spain,-2,5,1,42,0,2,2
R_cCLy5RRotHwUrVb,Spain,0,6,0,35,1,3,6
R_brZqBAWN7hGhADH,Spain,0,2,0,52,1,4,5
R_bezReFhxHGa0eTX,Spain,1,5,1,44,0,2,2
R_77epapU620AKj3f,Spain,0,5,1,49,0,6,2
R_080qT9RRc5hQBal,Spain,0,2,0,61,0,6,8
R_bwiJEUIGApv4Xw9,Spain,-2,8,1,25,0,5,3
R_0MuHYDdKWUUGENT,Spain,2,3,0,43,1,2,2
R_7aBDXzhpmjiFi6N,Spain,-1,7,0,58,1,5,6
R_1KOJ6foBL5WpPFP,Spain,0,5,1,41,1,6,9
R_3fNkuZwbVLIlFs1,Spain,0,3,1,50,1,7,9
R_0VBGPbaSPQlu9vv,Spain,-1,10,0,62,0,6,9
R_eJKRJoEiFR3Sicl,Spain,0,3,1,48,0,4,6
R_8cb2IBERJT3Cotv,Spain,-1,5,1,51,0,1,1
R_5uVMvpwifTVPBgp,Spain,-2,1,1,53,1,2,7
R_89egyjF21Mcdzdr,Spain,-2,5,0,43,1,2,9
R_cC3FmeHB9tDkAIZ,Spain,2,0,0,46,1,7,10
R_1H2a64m1uIl7Y7H,Spain,1,4,1,48,1,7,7
R_9Y3AadRPqK5pEZT,Spain,-1,5,0,49,1,4,1
R_b7a3K47bJCLXNHv,Spain,-1,5,1,40,1,7,9
R_1ObIYAuO5wd2Asd,Spain,0,2,1,50,0,5,4
R_b2A0XDfUxv4mBVj,Spain,0,6,1,61,0,6,10
R_1Tia423tXXZRJM9,Spain,-2,1,1,63,1,7,4
R_cwNHUdYfF2UUhZr,Spain,-2,7,1,32,1,7,4
R_b18DULNIZ84GIv3,Spain,-1,5,1,39,1,7,6
R_exHUMUwjse7ZxLT,Spain,-1,7,1,51,0,1,4
R_5njkrzXELisfAcB,Spain,1,5,1,29,0,7,2
R_7WINeDi177FoV9z,Spain,1,3,1,36,0,7,6
R_3slUkageSSGmWUZ,Spain,0,0,0,70,0,2,8
R_74zT9nkyu29gK5D,Spain,-1,3,1,36,1,6,6
R_ctJ1wzF3iRMI0L3,Spain,0,7,0,33,0,5,2
