respid,cty,AsylumHome,IdeoScale,Female,Age,Employed,EISCED,IncomeDecile
R_9QtAbCzmSvLQzRj,Spain,-1,6,0,33,1,4,3
R_9WUOVppKnFaj7aR,Spain,1,8,1,37,1,6,7
R_eG5BE5Hqc8hLzSJ,Spain,0,7,0,33,1,1,3
R_0pociYZ7gfJyivX,Spain,2,2,0,46,0,6,1
R_8vTn5jFF9W4EW8d,Spain,0,3,0,34,0,7,4
R_3Wdsjz6bBtsKDCB,Spain,0,5,0,26,0,7,1
R_4NqbJ4xWqSvbyiF,Spain,-1,5,1,38,1,6,3
R_2sj35Hv8MBpCzBz,Spain,0,0,0,29,1,1,2
R_8cBCncWHDgj6qMt,Spain,0,0,0,24,1,3,1
R_3fRrnT4FctFc5Kt,Spain,0,7,0,36,0,7,6
R_eScd2f4qJ1goqrj,Spain,-2,9,1,39,1,3,4
R_6GrPAkxCmFzL4C9,Spain,2,6,0,34,0,7,10
R_0BB7xaMdl8AvYih,Spain,1,3,0,24,0,5,4
R_e5VncHV9ETllZOd,Spain,0,3,1,36,0,4,2
R_6KbfMmu0OrGvtOd,Spain,2,3,1,54,0,4,1
R_9mDIRyAU5rD70ON,Spain,-2,4,0,39,0,7,1
R_3P2gE0rXGkvCTdz,Spain,1,2,0,30,1,6,4
R_8p5JAYiz1AVfyHr,Spain,-1,2,1,35,1,5,6
R_23jSTEXbuFdwMRv,Spain,0,8,0,26,0,2,4
R_3ecRSJ4PWXbNx0p,Spain,1,6,0,32,0,2,1
R_82P3GIzpsBnrUoZ,Spain,1,2,0,36,1,4,3
R_cDcs1vS42ndistf,Spain,0,10,0,35,1,7,10
R_8d1pSBrQgqnyFvv,Spain,0,7,0,30,1,6,7
R_dhTl8rFKzU4ms6N,Spain,1,10,0,30,1,2,2
R_2tceExTQcwhr0G1,Spain,2,1,1,39,1,3,8
R_bsyxZ9fNswKNSId,Spain,-1,8,0,36,1,6,10
R_9RHdul2OkokA7tz,Spain,-1,5,1,29,0,5,3
R_1ADxY5PZ9OAL0BD,Spain,0,2,0,38,1,4,3
R_41woKRI6BiLGnqt,Spain,0,8,0,30,1,2,10
R_514SMsB6UaGEJ6t,Spain,-1,4,0,39,0,2,3
R_6KmRNBOrQpF86Q5,Spain,2,0,1,35,1,7,4
R_03fgm1ZHhqQCQoR,Spain,0,0,1,33,1,6,2
R_cUgfd8kdnHV8vbf,Spain,1,0,0,39,1,5,5
R_0chZrFhcuKCls69,Spain,-2,10,0,26,1,2,6
R_acarB2zIEt2Eujj,Spain,0,7,0,35,1,7,9
R_06dc8LUpmcHpNtP,Spain,0,5,1,36,1,3,3
R_3rzmdSke9H99S5L,Spain,0,7,0,32,1,7,8
R_3yYzXgUwGwVeKcB,Spain,1,6,0,22,1,3,5
R_9NO5I2JE7evHqyF,Spain,2,7,0,31,1,6,7
R_9RK8ipLK8YpqeNf,Spain,2,4,1,31,0,2,2
R_8w9FLiqqh6GF3Lv,Spain,1,4,0,39,1,4,6
R_6urnQFhZqaojcDr,Spain,2,0,1,19,0,5,7
R_emV8NKPG6Uu2zv7,Spain,0,4,0,23,0,5,7
R_6SfWnrtETNQFdaJ,Spain,-2,0,1,35,1,1,5
R_3mI4aFR0tSQCvhX,Spain,0,0,0,30,1,7,8
R_2frjVdw4uTwGifH,Spain,0,10,1,42,1,1,6
R_6EeYqCvFu926jSR,Spain,0,5,1,25,1,6,2
R_73tq4UpBYpu2uQB,Spain,-1,2,1,34,0,6,1
R_0VAHqxF0qG9deMB,Spain,1,4,0,35,1,5,8
R_26am9D78CUpDXYp,Spain,1,4,0,31,1,7,9
R_00wM0jz2T0x9i2p,Spain,0,3,0,29,0,2,7
R_3La4epkyD3dizdj,Spain,0,3,1,31,1,6,5
R_6ulDIerDd5JUnAx,Spain,0,4,0,36,1,2,4
R_07ohFqS1CJ1fPnf,Spain,0,2,0,34,1,6,4
R_6rrggJAU3v9fpFr,Spain,-1,7,0,39,1,6,5
R_cIy0Zjgu8Q8Xxfn,Spain,1,6,0,36,1,5,3
R_6Pv8dD5CZcd6asl,Spain,2,4,0,40,0,2,2
R_0jhh2RZRKcMlHg1,Spain,1,2,0,29,1,5,9
R_2sNg1v6tZxyMJPn,Spain,1,3,1,35,0,7,4
R_4M9hn0eX526iGe9,Spain,1,1,0,53,1,7,3
R_0HcVlVb2cnEbjQV,Spain,0,8,0,33,1,7,7
R_elMORJTEu46zrMh,Spain,-1,7,0,26,1,2,8
R_dgsy92OxmXhst8N,Spain,1,2,0,22,0,4,2
R_cCmRSfc8FTXSp2B,Spain,0,6,0,25,1,7,2
R_9KUdKWidcMVFK3H,Spain,-1,3,1,62,1,3,3
R_4IKBbes4Hx1HQOx,Spain,-1,2,1,37,1,2,8
R_39Fnw6zGNJ7V5NH,Spain,2,5,1,33,1,4,9
R_5gLXUjdRDgfzeW9,Spain,2,10,0,19,0,3,1
R_1QUa4hvMMl4Q5lX,Spain,0,4,0,39,1,5,8
R_6QejXZhm1ZPLiMB,Spain,1,5,1,35,1,4,3
R_b44kQ5tnGbALlvD,Spain,1,0,0,34,0,1,1
R_1zYVtja5n99iwAd,Spain,-1,4,0,46,0,2,3
R_9X0sStlT6iyk4kZ,Spain,1,1,0,30,0,6,2
R_bacqiWIwEM6JXTL,Spain,0,0,0,30,0,5,2
R_b94HJ6ScWvk5vlr,Spain,0,7,0,39,1,7,6
R_2gHP2BornrcpDF3,Spain,2,7,0,60,0,6,4
R_9HuSNc4cm0VvdcN,Spain,1,3,0,25,1,7,6
R_8uMpNoQhNNsqA17,Spain,-2,5,1,23,0,5,1
R_6GpqGGh4831GYcJ,Spain,2,7,0,34,1,7,9
R_0IlKEElNu5WfoTH,Spain,0,5,0,27,1,7,6
R_25F9YhzmDLcmSaN,Spain,0,6,0,28,1,6,10
R_0Gm9xdq86S0LPCt,Spain,1,6,0,36,1,5,6
R_2n6WiXSwlaceLT7,Spain,0,6,1,27,0,4,2
R_02r8dMMgI6l3NSl,Spain,1,9,0,31,1,5,7
R_afzFHeuwNsdrREF,Spain,-2,7,0,32,1,1,2
R_6tUuxhtOmeNjQKV,Spain,2,3,0,41,1,2,5
R_9QTOXpIzxxKk6yN,Spain,-2,4,1,27,0,6,1
R_4IOTpbvrluQVBhX,Spain,2,1,1,33,1,5,9
R_56hCQNJDNLimx6t,Spain,2,5,0,39,1,2,4
R_4SJOPNRk6DQ11Hv,Spain,1,0,0,39,1,2,6
R_5subtpcrUERyEct,Spain,-1,1,1,41,1,6,4
R_b1a0TP640bVu3tj,Spain,0,9,1,37,0,2,3
R_1B6JUOMQ6evcYBL,Spain,0,7,1,39,1,7,3
R_8GSd3AMN5hpjwhL,Spain,1,2,0,38,1,6,4
R_dcol4z3nGXrCV9P,Spain,1,7,1,29,1,5,4
R_2rSCBwMpVQIbVbL,Spain,1,4,0,29,1,2,4
R_6A85AtvSrlYJRWd,Spain,-1,8,0,37,1,5,9
R_b3DGKsL2CLtvATb,Spain,1,2,1,22,0,6,8
R_20nGFzp50uRGS7r,Spain,2,4,0,19,0,2,3
R_9v18D2fPzPLm1pP,Spain,0,5,1,34,1,7,4
R_eSbiaDShPATEpgN,Spain,-2,5,0,24,0,3,1
R_0qYrSd3nq5KXu6h,Spain,0,3,0,34,0,3,3
R_3px1ErysWMwP9Xf,Spain,0,6,0,28,0,1,4
R_9EPzTUbgsL6rNB3,Spain,-1,5,0,39,1,1,4
R_3h29RqYPfPKgjEF,Spain,2,10,1,31,1,7,6
R_1BKNOOzknM0pz3D,Spain,-1,5,0,28,1,2,4
R_brr7L8zNnUbVZGt,Spain,0,5,1,30,1,5,6
R_7Wi3VRfyj59LyaV,Spain,1,2,1,28,1,5,1
R_77N5oCeEQZ08RH7,Spain,-1,7,0,38,0,3,1
R_5ALXFSSv319iJ2l,Spain,0,3,1,39,0,4,2
R_8CXnDyP5yGMEdjn,Spain,0,4,0,34,1,2,3
R_9Hra0GnG0Hrybkx,Spain,2,4,1,24,1,7,6
R_4ZWsEyOgbqNCMdv,Spain,-2,10,1,45,0,5,2
R_5gpExn21ojWo9hz,Spain,0,5,0,39,1,5,2
R_6lg6CDBxDFLbwG1,Spain,1,2,1,38,0,5,4
R_cwEaxtqnsMvm3LT,Spain,0,5,0,49,0,1,2
R_8wdFanoVohLdddz,Spain,1,3,0,30,1,1,4
R_dhhBwCOJwKKhZ9H,Spain,0,5,0,69,1,2,9
R_bdd7XgtWsrFq9IV,Spain,1,5,0,35,1,7,4
R_bO5vfHETXBoUKGx,Spain,2,7,0,39,1,6,8
R_0og5FQbDb0hUouN,Spain,-1,5,1,38,0,6,9
R_6txwM8qoxjXWPwp,Spain,-2,1,0,62,1,7,10
R_7OnDNZe7YPHtVeR,Spain,1,3,1,26,1,7,5
R_40e0hYUCyi5cZWR,Spain,2,5,0,35,1,5,4
R_1BasZza8673dbAp,Spain,1,1,1,22,0,6,7
R_6hf4TvBxfOGSf53,Spain,-2,5,0,31,1,2,1
R_38blIiBTsxxuTNH,Spain,1,1,0,34,0,2,1
R_0GIlFgcF9Dvrugl,Spain,0,6,1,27,1,7,6
R_1Cchdy7yWDir4Pj,Spain,0,0,0,48,1,1,3
R_5hwFlode5ttDl3v,Spain,-1,7,0,39,0,3,1
R_1HTxkgjfSjWApRb,Spain,-2,6,0,44,0,5,1
R_1TZ5KQe2nxzXZmB,Spain,1,5,0,30,0,6,7
R_9Fy9DKPXVDao2j3,Spain,1,6,0,26,1,1,3
R_3drLLJOUDznu3Pv,Spain,2,5,1,26,1,2,7
R_3OBJZ3mnIEOf0tT,Spain,1,5,0,35,1,7,9
R_6DwtZUxM6IltTcV,Spain,0,2,1,22,0,5,6
R_1Sude6J2DTIOOzj,Spain,0,5,0,31,1,4,4
R_6SbazJ1rwN6sDkh,Spain,1,0,1,29,1,2,2
R_2rioz56BStWkak5,Spain,-2,5,0,27,1,2,5
R_3qLDTVl5q9VT6rb,Spain,-1,3,1,25,0,5,1
R_elAI9ETg1plH6pD,Spain,-2,9,1,43,0,5,4
R_7VxdvTOg8GptNC5,Spain,-1,10,0,53,0,3,5
R_b1IX0bixtjmGn6B,Spain,0,3,1,62,1,7,9
R_40jSmPVTngISLm5,Spain,0,0,0,35,1,5,9
R_eVvMnTjDwHCh9lP,Spain,-1,6,0,36,1,7,7
R_3wLy6r6e9QVyy6F,Spain,2,0,1,39,0,7,4
R_3Rkyws6E9EKmQlf,Spain,2,2,1,24,1,6,9
R_7THkHdg9EAwGm5D,Spain,1,0,0,28,1,5,6
R_eQZXXCczUM85GRf,Spain,1,0,1,31,1,7,10
R_eDTitke48jiM9cp,Spain,0,3,0,36,1,6,5
R_5pO4tKpTGhcG8oB,Spain,0,1,0,36,1,4,6
R_3OTBc31jrekwmON,Spain,1,3,0,40,1,7,9
R_9YsweAFX6PtJctD,Spain,-2,6,1,37,1,7,8
R_3JoCQLlOnH6aVRX,Spain,1,0,0,37,1,2,3
R_6Sd7VqSTFqD2Xn7,Spain,1,3,0,25,0,7,10
R_bqkXHlwisdvldv7,Spain,1,6,1,35,1,7,9
R_77edRuCpHQynhFb,Spain,1,5,1,38,0,2,7
R_bkeD4uyQmck5KaF,Spain,1,1,1,26,0,4,7
R_6EjYZtlXQ9CBB0V,Spain,1,1,0,36,1,7,8
R_ea4SjYYUyREOXrv,Spain,-2,7,0,36,1,3,4
R_0O0hGxX0IFARWgB,Spain,0,5,0,44,1,5,3
R_55dMtpqh8bVL2xD,Spain,-2,5,1,37,1,7,5
R_4YDusqpRHJraJYF,Spain,0,2,0,24,1,7,10
R_5uywot5lC8zwakR,Spain,0,3,1,20,0,2,1
R_ehwZ6rVLXV8ZDtb,Spain,0,3,0,34,0,3,3
R_5i2LNplSY2amVAp,Spain,-1,0,0,37,1,3,5
R_2uaaN9meAClJBnn,Spain,1,3,0,37,1,7,8
R_bvC8GnF6M8pYH4h,Spain,-1,2,1,33,1,5,2
R_8jLdioHDP95jiu1,Spain,1,0,0,27,1,7,8
R_cNJ1JZigupP5XBr,Spain,-2,10,0,41,1,7,9
R_0xJS1BxYkTDOSPP,Spain,0,4,0,39,0,7,3
R_cA6k0X3NWUJaBSZ,Spain,-1,8,0,57,1,7,10
R_2tmnQBrzFwFS0jH,Spain,0,5,1,37,0,1,4
R_cT3PtI3cFq1xkt7,Spain,0,3,1,36,1,7,9
R_3WdDGmsx3UgaNnv,Spain,0,4,1,34,0,5,8
R_ctNe9JalBHHBKAd,Spain,1,2,0,39,1,7,9
R_00wzg0o84Nr26Al,Spain,0,6,1,32,0,4,1
R_1Gj3QghuKZ9cSix,Spain,0,6,0,52,1,4,3
R_doHrCb1JKuRWrOt,Spain,1,4,1,38,1,7,6
R_4TaqSmOcwOWktBX,Spain,-2,0,0,56,0,4,1
R_cRO8BkD7636Z8d7,Spain,0,3,0,41,1,6,4
R_3dQtWN5GuPQUAOp,Spain,1,0,0,37,1,5,1
R_5gswD6ADMql8wHH,Spain,0,2,1,34,1,7,9
R_5vR3dI1PVJ97NxH,Spain,1,4,1,64,0,4,8
R_e9ElPHvGLAXFG8B,Spain,1,5,0,27,1,2,2
R_88lAvCgQSMbETrf,Spain,0,8,1,29,1,5,1
R_5t1XFV4oVL92Mw5,Spain,0,7,1,31,0,2,5
R_6F56hZ5dro9J3ox,Spain,-1,7,0,60,1,3,7
R_39vKAFHp2gik6MJ,Spain,0,5,1,43,1,5,4
R_blrmEG5S9DPYki9,Spain,0,7,0,32,1,7,8
R_bxgAh51P0tUKj8V,Spain,-2,5,0,41,1,2,7
R_24OxWtnZwwOIWWN,Spain,1,5,0,45,1,6,5
R_57iQRh3MUfHcvyZ,Spain,-1,9,1,52,1,6,1
R_7TIymoWKLJghQwZ,Spain,1,1,1,45,1,2,7
R_0TdVEYOV4hOPD3D,Spain,0,2,1,51,0,7,1
R_09uHkRw0nG0ih93,Spain,0,5,1,63,1,6,6
R_3l03LHUULblpGbH,Spain,2,7,0,33,1,7,4
R_3sC2E8v9fkegFDL,Spain,0,4,0,22,0,5,5
R_ePPW2HJILTGxZJj,Spain,1,8,1,31,1,6,5
R_3sZe9zm8mCpB30N,Spain,1,6,0,36,1,2,1
R_38lwdAelbN4Dp7D,Spain,-1,6,0,29,1,7,9
R_3a7LhAM1169rn1j,Spain,2,8,0,26,0,2,2
R_3EgL28vbqCXk7Fb,Spain,1,5,1,26,1,2,2
R_6mOhUIXAqQHPpJ3,Spain,2,4,0,38,0,2,3
R_cUatOdAfM4mBHHn,Spain,1,5,0,32,1,7,7
R_0OGFeI4KyXRyE9T,Spain,-1,3,1,32,1,2,4
R_5aNLY0X0TPSNAnb,Spain,1,5,0,35,1,5,6
R_0BSt3l0sTx0nP6Z,Spain,0,3,0,28,0,2,4
R_4O5IGXA6EUwXCM5,Spain,0,2,0,40,1,7,6
R_9uc6NsZk9a4jpm5,Spain,2,0,0,31,1,7,7
R_1Aff0fVHrvlL2Wp,Spain,0,2,1,38,1,6,4
R_2n2oSrRHAKGaN2l,Spain,0,3,0,36,1,3,6
R_9XdNXSr65uIOVAp,Spain,2,5,0,28,1,3,4
R_3QclYsd0rE20xZX,Spain,0,7,1,33,1,6,10
R_4G6truw5xdB2Fmd,Spain,-1,2,1,38,1,6,6
R_cZSwST4zzABDptz,Spain,1,4,1,33,1,5,7
R_42OZ6Gj2fxsdd0V,Spain,1,2,0,39,1,5,7
R_9naEIHdbayzavOJ,Spain,0,3,0,35,1,5,6
R_cI6nJpQsMoC7ZCl,Spain,1,5,1,36,1,6,4
R_bNn7rZT1jWPFWLP,Spain,0,4,1,37,0,4,1
R_1GgzOj000ttJUIl,Spain,0,0,0,52,1,2,9
R_0V9Oh5hQ3PHTp2J,Spain,2,0,0,39,1,6,10
R_51nycDF15xVhBxH,Spain,1,4,0,36,1,6,4
R_daO52whfuTUOh0h,Spain,0,3,1,34,1,6,9
R_879gWL4Dlp8y3Gt,Spain,1,5,0,22,1,2,4
R_1SoZB5oW7PQq4PH,Spain,1,8,0,31,1,6,8
R_3XitEC87k8TyTYx,Spain,0,4,1,35,1,5,3
R_d0V3tAteJeqDm8R,Spain,1,4,0,23,0,1,3
R_0P8tSembvfk0ytT,Spain,0,0,0,28,1,6,5
R_5tqrpfFe6Dr60Ch,Spain,0,2,1,20,1,7,8
R_5nztdxSHU1XcEBv,Spain,-1,9,0,28,1,6,3
R_0Jno7Emt1JdsUqF,Spain,-2,10,1,36,1,4,6
R_40VwjFyhl3yoCkR,Spain,-1,10,0,38,0,2,5
R_eW0mRZiDjEQ6Aex,Spain,0,6,0,25,1,5,6
R_eUKeYG2ZAwC1CAZ,Spain,-1,4,0,35,1,5,1
R_aYppEosNwjM4w3H,Spain,1,3,0,22,1,3,4
R_3eklwvBzGfS0X89,Spain,2,1,0,38,1,5,5
R_3wxIFjiHHCw7Thz,Spain,2,0,0,36,1,7,10
R_3Q1R627UKerPMbz,Spain,0,3,1,34,1,3,5
R_7OGXjkrd7zZQuIR,Spain,0,3,0,32,1,6,4
R_cNjzQPsVtu5KXDD,Spain,1,6,1,26,1,7,2
R_40IIX1dEnk4XF0p,Spain,-1,4,0,32,1,2,5
R_1NXKhKy3M9iUi1v,Spain,1,9,1,38,1,7,9
R_0MSnGv81dGuh1Hv,Spain,-1,0,0,32,0,4,2
R_3CvqIIo1XVLQYx7,Spain,-2,8,1,31,1,7,10
R_064oaTxQqcVx4UZ,Spain,-2,7,0,32,1,6,9
R_ewK5FNOBOgJxhT7,Spain,1,3,0,33,1,7,9
R_djqvPcp28QhNSzb,Spain,-1,5,0,30,1,2,3
R_cT4NfxIhdV5ASEd,Spain,2,2,1,23,0,6,2
R_3gX1D8ibIWThnEN,Spain,1,6,0,26,1,5,6
R_3ZV816Hc2bEkvop,Spain,0,3,1,22,0,4,9
R_6tiRxlp2Wgwjbud,Spain,0,5,0,23,0,4,4
R_bvKaqmeilTmQlJb,Spain,0,4,1,38,1,6,9
R_eG0X8p82poUFz9P,Spain,2,6,1,45,0,5,2
R_2uGkF0CvjWtKC1L,Spain,2,8,0,30,1,7,10
R_cNLDu2tfou8RqTj,Spain,-1,3,1,27,1,7,7
R_cCPKi2suvMpKSUt,Spain,-2,6,0,30,1,7,7
R_6MxxmgWtk72XBsx,Spain,2,2,0,34,1,7,9
R_8CSVSQRQ3Tta581,Spain,-1,4,0,33,1,6,3
R_9n0yEAvTxFnxHE1,Spain,-1,5,0,38,1,7,9
R_0NiDUnG80A7luzH,Spain,0,8,1,34,1,6,6
R_cAMxDgDhj9gzblr,Spain,0,2,0,19,0,4,4
R_bCqnUBan42nPsbP,Spain,-2,7,1,29,0,3,3
R_5govoXyc7m8EJTv,Spain,0,3,1,39,1,7,6
R_5hzmBJUcTpn0zMF,Spain,1,3,0,21,0,4,6
R_bJJlMAV08u3SpWR,Spain,1,3,1,26,0,7,8
R_bOtCcmFlkJ4a2LH,Spain,0,6,0,36,0,7,1
R_7aoycRYVsT55pSB,Spain,1,0,1,51,1,5,1
R_9XZ82b5DEMVDRIh,Spain,0,0,0,38,1,6,10
R_e8wx9CvlS7Dr1rv,Spain,0,3,0,38,1,7,8
R_6XKYgnN9diJeQjr,Spain,1,4,1,30,1,7,2
R_8v4vYODCKnIZ4R7,Spain,0,4,0,36,1,1,2
R_1Y10lrq4mEvNMIl,Spain,0,3,0,18,0,7,7
R_e8z6eTQHcHxJfGR,Spain,1,1,0,35,1,6,8
R_5A2d5uCPYepSOcl,Spain,0,2,0,36,0,5,2
R_bBmbbHEla4dqgDP,Spain,-2,4,1,37,0,6,2
R_eb728Vf7jWIKsYt,Spain,0,5,0,25,1,5,1
R_86AheQ4zlKhFV2Z,Spain,0,3,1,28,1,7,3
R_bOCNttOuN1JaaDH,Spain,1,4,1,21,1,7,3
R_bwuzrCtqF1gCEQZ,Spain,0,0,1,23,0,4,2
R_5avR3WTLPgpcgnz,Spain,2,1,0,31,1,5,9
R_0I14so7tO330oOp,Spain,1,0,1,25,1,2,2
R_a3r2H3728NxcJ0x,Spain,0,6,0,31,1,6,9
R_d4sdg8Y8xK4US6p,Spain,2,4,0,36,0,7,7
R_6mSxk84GlYy2GEZ,Spain,-2,6,1,21,0,5,4
R_cFPPS8UB3fBjGf3,Spain,1,3,0,24,1,7,7
R_2oeQnSfkA0mMP77,Spain,1,3,0,26,0,7,4
R_0wx6RIIhOu5kQQd,Spain,-1,7,0,61,1,4,4
R_0w8jrmZUG9fH9u5,Spain,1,3,0,26,0,5,7
R_dbrQcAXgQXoi873,Spain,1,6,0,32,1,6,2
R_bdYSBqf8Rk1sHs1,Spain,1,4,0,29,1,5,7
R_dnGwmPplXAwHPdb,Spain,-2,5,0,33,1,6,4
R_8xkX5wjq0JnjkZn,Spain,2,0,0,35,1,7,9
R_cwmCHXHFoBAP3jT,Spain,-1,7,1,21,0,1,2
R_2fRAp85fk9Wwf0F,Spain,2,10,0,29,1,5,4
R_a3FrDdxC2kP59pH,Spain,-1,2,1,33,0,4,8
R_42bEv6Hg1pD12V7,Spain,2,3,0,27,1,7,10
R_6MqHhHyYfx4rYH3,Spain,0,8,0,26,1,7,8
R_bdrgetET08lymKF,Spain,0,1,0,38,1,7,8
R_6yFrbUHYXRjIipv,Spain,1,7,1,29,1,1,8
R_5bvGso8uE5bxB3f,Spain,0,0,0,31,1,2,2
R_b4btM1DSsLnyHGd,Spain,-1,5,0,24,1,3,3
R_b8J36G98gTMbQbz,Spain,-1,5,1,31,0,2,2
R_bNNgVZYauIpIR9P,Spain,1,3,0,30,1,5,4
R_bHhhAX795EbvmU5,Spain,0,5,0,18,0,2,3
R_eL4I45ft03QTPsF,Spain,0,6,0,28,1,7,5
R_5arh7Ar3Da2Rqex,Spain,2,8,1,33,0,7,1
R_b2vtd6SdmRzX1aZ,Spain,-1,5,0,39,1,3,7
R_0TkkyX4g6SZlXPT,Spain,0,6,0,26,1,7,9
R_3jDMVlJlrjIEOy1,Spain,1,6,1,27,0,5,6
R_2t2roc4hS0CC5pj,Spain,-1,2,0,38,1,7,7
R_dncv7ZzSOqtfHWl,Spain,0,5,1,26,0,4,1
R_7QZRehvxS82Y3l3,Spain,1,4,0,28,1,5,8
R_3gQsUQZi1aycTIx,Spain,-1,3,1,37,1,7,4
R_8qXaUlHodIfN3db,Spain,1,5,0,26,1,6,5
R_3acqhkLh8P2pJlz,Spain,0,2,1,24,1,7,6
R_0d47eJEV7cHFtfD,Spain,-1,7,0,22,1,7,8
R_43cwD5tMZb6DLrn,Spain,1,2,0,33,1,6,2
R_4OrlcpyKTImPOPX,Spain,-1,6,1,30,1,7,3
R_51Dtze4MOmq7qIJ,Spain,1,6,0,34,0,1,6
R_1R0gzYEj2pRQOkR,Spain,0,7,1,21,0,6,1
R_2f0qEFWJdkryGod,Spain,1,3,1,28,1,7,10
R_b2iWfbAsQlJ1nN3,Spain,2,5,0,30,1,2,5
R_0PaFQ54B2qrKnRP,Spain,0,5,0,39,1,2,4
R_72llw0yNYDjMsDP,Spain,1,5,1,28,1,7,3
R_cvjdxDwvJz2bn7L,Spain,1,2,0,24,0,4,2
R_b2PQWdsBcuGD2G9,Spain,0,3,1,30,1,7,3
R_4VhNMl0XmpFacFD,Spain,2,3,0,25,1,7,6
R_8xqwD4h3cUWBLI9,Spain,1,5,0,36,1,5,1
R_e2rCD4q8P7COXZ3,Spain,0,3,0,30,1,5,4
R_diEvaJ4vz9kkttH,Spain,-1,5,1,28,1,7,7
R_dh8NTOBTM9gpuuh,Spain,0,0,0,24,1,3,1
R_8uL7HTYZWA0uCOx,Spain,2,2,0,34,1,6,10
R_1RXUoBpGY9Jk8df,Spain,1,2,0,21,0,2,1
R_3UcDFNtkT7ypVdz,Spain,-1,7,0,37,1,7,6
R_e8TxbbVdwGys7fD,Spain,2,2,1,25,0,7,5
R_eS8jtGzPsspWNbT,Spain,0,0,0,25,0,2,1
R_5AqTJjyivVzLByZ,Spain,0,5,0,29,1,6,9
R_8df0K9uCEw5PnSZ,Spain,0,5,0,28,0,7,1
R_eJmGiGvYMN0tjJX,Spain,-1,3,1,26,1,6,1
R_6DSYKN49YJXku45,Spain,0,4,0,27,1,5,4
R_cSWLImbhwr0DD3D,Spain,2,0,0,19,1,7,8
R_cIPrIoQlMbHOY4Z,Spain,0,5,0,20,0,2,2
R_6SiWJqoMLrPRzc9,Spain,2,7,0,21,0,5,8
R_3F1LbMZrmu4qoGF,Spain,2,1,1,26,1,6,1
R_d4OCRRXLA8q30Tb,Spain,-1,5,0,19,0,5,3
R_00NTMbopa7G4oL3,Spain,0,7,0,41,1,5,8
R_5un0vzXlRdeNxml,Spain,-1,4,0,22,1,4,1
R_cIVTiDvDtG2xjqR,Spain,-2,8,1,40,1,3,5
R_eeuiXc0oXJ51maV,Spain,1,0,1,21,0,4,9
R_8kXFvY10KRgNOpT,Spain,1,1,1,22,0,6,2
R_2iaRjSndOX5Pt2t,Spain,-1,7,1,28,1,1,4
R_8oHhlJYv1PvTJxr,Spain,-1,10,0,64,1,7,9
R_9N9o0lJaNCXac9D,Spain,0,3,1,21,0,6,8
R_5isWMCRvcrDntpb,Spain,1,3,0,19,0,5,1
R_6x5neCO4JJ1cqUt,Spain,0,0,1,20,0,4,6
R_b47xCjnMLbu7b93,Spain,0,5,0,26,1,2,2
R_9pIV5TFK3KQTym1,Spain,-2,10,0,26,0,2,2
R_3UGbj5l4rOneSFv,Spain,1,2,0,23,0,4,2
R_brpuj53zc8Eghrn,Spain,0,1,0,23,0,6,9
R_cTtCZ3BDRnnfmtL,Spain,0,4,0,25,0,5,9
R_5cMbjb7BW2hdyqF,Spain,-2,5,0,25,1,5,1
R_0umU8Rzw4Q39LlH,Spain,2,8,0,24,1,3,4
R_1U4EYbx0lcRICpf,Spain,0,5,0,22,0,1,3
R_bfkjvMBqGRA6PvD,Spain,-1,7,0,48,0,5,2
R_ehz66NjLlo9yFiB,Spain,1,7,0,19,0,3,3
R_3l9mO22InAN3CU5,Spain,-1,6,0,23,1,1,2
R_6KUm6CIOj2Hizhr,Spain,-1,3,1,23,1,6,10
R_9oYdH6n2PNEUtzn,Spain,1,7,0,26,1,7,7
R_5pui3PERi8rvVAh,Spain,-1,4,1,48,1,7,7
R_0B32BJ9emy5T1TT,Spain,2,0,1,26,1,5,9
R_00uXfiJinWuXrPn,Spain,2,0,1,26,0,2,8
R_0Ap46H8fij3PA2x,Spain,2,3,1,19,0,4,10
R_1GOjwePMoEdDhDn,Spain,1,7,0,20,0,4,10
R_e2QZaRfguFsrrb7,Spain,2,1,0,19,0,4,8
R_7Puk5yi6CD3F0MZ,Spain,1,7,1,24,0,6,1
R_9SQQLHsJa8RVl2d,Spain,2,3,0,33,1,5,4
R_3UDlLgPnl3SLknX,Spain,0,5,0,27,1,1,2
R_dbvdZytJrFXAzlj,Spain,2,1,0,26,1,3,4
R_787XmrZyY1AErpb,Spain,-1,5,0,27,1,6,4
R_4Jx85rH2O56lhv7,Spain,1,3,1,27,1,7,3
R_4MjGtmWNz0WC0rH,Spain,-1,7,1,29,1,2,6
R_9Wz0uc2RA6p6jRz,Spain,1,3,0,28,1,6,1
R_6Jc9pIFgmHtJiYd,Spain,0,3,1,21,1,6,7
R_4OxmsCPpETouiJ7,Spain,1,3,1,22,0,4,7
R_3BIope2Jz29dXhP,Spain,-2,8,0,46,1,7,8
R_51oyDU5p8uWli9T,Spain,2,5,0,27,0,5,9
R_54NjNBNEJtJd5pX,Spain,1,8,1,24,0,2,2
R_1STbs57DPdPZZzf,Spain,0,5,0,19,0,2,2
R_07yuNeQULtpJknX,Spain,-1,5,0,26,1,6,4
R_2sKXM5O67NGQ0fz,Spain,0,5,1,23,0,2,8
R_bQNlwfBLjU4Nvkp,Spain,0,5,1,21,0,6,10
R_7U8H2wYbtsPq2QB,Spain,0,5,1,45,0,3,4
